"samplesize","GE_Diff","covGE_true","covGE_data","lwrCI","uprCI"
9,2,2,1.90640583513765,0.661527949307309,3.57092812096642
9,2.25,2.53125,2.51598048363322,1.23520458225802,4.19325320119026
9,2.5,3.125,4.27718165983123,1.7668676078197,7.12863414810401
9,2.75,3.78125,2.86114396426029,1.37381803812624,4.74896461686302
9,3,4.5,3.80472999743861,1.90334447736512,6.29605838942264
9,3.25,5.28125,4.47782636301026,1.96654977392522,7.71439503490014
9,3.5,6.125,6.53688237998338,3.33637466794795,10.5092667122739
9,3.75,7.03125,6.07529203303006,3.02003356856657,9.76194516611305
9,4,8,7.5080312853362,4.13294981265702,11.2376219383986
9,4.25,9.03125,8.16701565418035,4.59658787503941,12.8668146793692
9,4.5,10.125,9.42760952405077,5.05084537563714,14.0819581952864
9,4.75,11.28125,10.6157108261349,5.82747962293668,16.407867569904
9,5,12.5,11.3909356891117,6.28286093184687,17.1582704429492
9,5.25,13.78125,15.0930537363102,8.35594797807586,22.7301596039846
9,5.5,15.125,13.2783300692895,7.23088708292945,20.1639454520001
9,5.75,16.53125,14.7631750466748,8.35165922521935,22.3046567375077
9,6,18,16.5911899578511,9.05125089520785,25.0847411209873
9,6.25,19.53125,18.2303432636783,10.3208026885859,27.848035269792
9,6.5,21.125,20.0649733550006,11.4994358999573,30.6638178168247
9,6.75,22.78125,23.401469700452,13.4987835795059,35.7231790368356
9,7,24.5,26.4172918693762,15.0208292103607,40.8968609141032
9,7.25,26.28125,27.1006353981873,15.8598581418236,40.8598132098215
9,7.5,28.125,27.3972495190517,16.2758355132494,41.4845750896074
9,7.75,30.03125,28.1255940107019,15.4230441147563,42.4857728283542
9,8,32,33.1188244609571,19.3141974438019,50.8741979793234
9,8.25,34.03125,32.89325804231,18.2325206683918,49.8512625663193
9,8.5,36.125,37.6245309680536,20.9390942335849,55.8904239569322
9,8.75,38.28125,39.6140578193006,22.9700371073682,60.7397985547594
9,9,40.5,42.3252322761298,23.9385513808351,61.8275934138677
9,9.25,42.78125,44.7182181151148,24.5865272476953,70.0252605441447
9,9.5,45.125,42.1503364343023,23.3718642875978,63.8329616497481
9,9.75,47.53125,46.9403861020678,26.6200349446504,73.0738594698045
9,10,50,48.1607562266035,26.0137059858365,73.259846364047
10,1,0.5,0.243180131656964,-0.122275075128931,0.709911948772652
10,1.25,0.78125,0.595089601171649,0.118622744043338,1.34449529083544
10,1.5,1.125,1.25505824817878,0.500594592246476,2.14997557407542
